user,timestamp,commentText,vegan_y/n,likes,hasReplies,replies.commentText
Yasmin Sallam,1556813178506,"Ok so I’m muslim, so we only eat halal foods,when animals are killed they don’t have to suffer bc when u recite a certain thing they will calm down and just relax so they arent in pain ,they have no fears and they r totally ok with it and that’s exactly why I find it ok to eat meat.",0,0,FALSE,
Tara Z,1556812818508,"As a vegan, I felt very uncomfortable with watching these people, both sides. Some of them have rare personalities. Veganism is about compassion and love, there is no other excuse for me. Can I live happily en healthy without letting other creatures in extreme conditions and die? Yes? Then I rest my case.",1,1,FALSE,
QueenEm,1556807658510,"In all honesty, vegan eating is actually more expensive. I agree with some of what she said, but it is much more expensive.",0,0,FALSE,
Jenda Mh,1556804058512,"Enjoying my steak while watching this, remember always medium well is the best for people who don’t like their steak to be read, Yumi 🥩",0,0,FALSE,
Cavalio Thorson,1556800458514,That girl is the type to try and make me feel bad for being an omnivore while I come from a whole family tree of omnivores.,0,2,FALSE,
Ann Binoj,1556782458515,dat girl Lol,0,0,FALSE,
Mikaela Senpai,1556778858517,Capitalism is a great.,0,0,FALSE,
James Gates,1556775258519,the way that girl talks makes my neck hurt.,0,0,FALSE,
Dalgivan Cavalcante,1556771658520,"The girl makes the conversation a little bit disgusting, she's so boring that i prefer to watch a watermelon growing",0,1,FALSE,
Schizophrenic Cynic,1556768058522,Beanie girl there could definitely qualify as an SJW actually I think she is.,0,0,FALSE,
Schizophrenic Cynic,1556768058524,"If I could I would go vegan, but only if I could sustainably grow my own nutrition diagram for the rest of my life because I dont 100% trust the produce at market's.",0,0,FALSE,
Schizophrenic Cynic,1556768058525,"In many ways we took ourselves off of the food chain, and then bought the chain.",0,0,FALSE,
Flawess Grace,1556768058527,If a mountain lion attacks me I’m going to defend myself,0,0,FALSE,
Flawess Grace,1556768058529,The only vegan I’m liked was the light skinned dude,1,0,FALSE,
gianluca romano,1556760858531,Capitalism does not make healthy food more expensive.,0,0,FALSE,
melia M,1556760858533,it costs more to eat healthy miss thing,0,0,FALSE,
melia M,1556760858535,"there’s something about that guy in the cool pants that i like, there’s just something in his eyes ya know",1,0,FALSE,
james peek,1556757258536,I know Louis smokes hella weed,0,0,FALSE,
