,user,timestamp,comment,y_label,likes,hasReplies,replies.commentText
0,Yasmin Sallam,1556813178506,"Ok so I’m muslim, so we only eat halal foods,when animals are killed they don’t have to suffer bc when u recite a certain thing they will calm down and just relax so they arent in pain ,they have no fears and they r totally ok with it and that’s exactly why I find it ok to eat meat.",0.0,0,False,
1,Tara Z,1556812818508,"As a vegan, I felt very uncomfortable with watching these people, both sides. Some of them have rare personalities. Veganism is about compassion and love, there is no other excuse for me. Can I live happily en healthy without letting other creatures in extreme conditions and die? Yes? Then I rest my case.",1.0,1,False,
2,QueenEm,1556807658510,"In all honesty, vegan eating is actually more expensive. I agree with some of what she said, but it is much more expensive.",0.0,0,False,
3,Jenda Mh,1556804058512,"Enjoying my steak while watching this, remember always medium well is the best for people who don’t like their steak to be read, Yumi 🥩",0.0,0,False,
4,Cavalio Thorson,1556800458514,That girl is the type to try and make me feel bad for being an omnivore while I come from a whole family tree of omnivores.,0.0,2,False,
5,Ann Binoj,1556782458515,dat girl Lol,0.0,0,False,
6,Mikaela Senpai,1556778858517,Capitalism is a great.,0.0,0,False,
7,James Gates,1556775258519,the way that girl talks makes my neck hurt.,0.0,0,False,
8,Dalgivan Cavalcante,1556771658520,"The girl makes the conversation a little bit disgusting, she's so boring that i prefer to watch a watermelon growing",0.0,1,False,
9,Schizophrenic Cynic,1556768058522,Beanie girl there could definitely qualify as an SJW actually I think she is.,0.0,0,False,
10,Schizophrenic Cynic,1556768058524,"If I could I would go vegan, but only if I could sustainably grow my own nutrition diagram for the rest of my life because I dont 100% trust the produce at market's.",0.0,0,False,
11,Schizophrenic Cynic,1556768058525,"In many ways we took ourselves off of the food chain, and then bought the chain.",0.0,0,False,
12,Flawess Grace,1556768058527,If a mountain lion attacks me I’m going to defend myself,0.0,0,False,
13,Flawess Grace,1556768058529,The only vegan I’m liked was the light skinned dude,1.0,0,False,
14,gianluca romano,1556760858531,Capitalism does not make healthy food more expensive.,0.0,0,False,
15,melia M,1556760858533,it costs more to eat healthy miss thing,0.0,0,False,
16,melia M,1556760858535,"there’s something about that guy in the cool pants that i like, there’s just something in his eyes ya know",1.0,0,False,
17,james peek,1556757258536,I know Louis smokes hella weed,0.0,0,False,
18,Christopher Gonzalez,1556757258538,i met a vegan once. her reason for not eating meat: she didnt like the taste. she wasnt annoying like blonde girl and braid guy over here,0.0,0,False,
19,LilPhilipLim,1556750058540,Vegans are just modern day hippies,1.0,0,False,
20,Matthew Haddadin,1556750059165,as soon as the girl opened her mouth I hated her more,0.0,0,False,
21,Matthew Haddadin,1556750059167,its funny how before it starts you can tell who the vegans are,0.0,0,False,
22,Art by Elza,1556746459168,"Honestly, going vegan is more expensive depending on the country, I mean, here in latvia a packet of 4 vegan sausages is 3 euros (around 5 dollars) and they aren't even that big.... and vegan milk is around double than normal milk.",1.0,0,False,
23,Line Bäckman Emne,1556742859170,"If she is vegan, then why does she have a dead skunk as hairstyle?",0.0,2,False,
24,Clara Sablak,1556742859172,"Can people down here like, chill out?  I get that a lot of you are annoyed at some (or, more accurately one) of the people in this video, but take a step back.  We are all human beings with experiences, beliefs, and feelings.  Sure, the woman was high-energy and adamant, but put yourself in her shoes.  It's a beautiful thing to believe in something so deeply.  We just need to be considerate when it comes to people being more outspoken or unorthodox than we're comfortable with.",1.0,2,False,
25,Sadi,1556735659173,"Why do vegans in the video look sooo







Different?",0.0,0,False,
26,LaVosha Kern,1556728459175,I don't have anything against veganism but...vegans are SO annoying!,0.0,0,False,
27,Jonston Smith,1556728459177,"Why does she talk with her neck, ick",0.0,0,False,
28,Ruby Whitfield,1556728459178,You literally got the most vegan vegans.,1.0,0,False,
29,I smell Celery,1556728459180,"Her mum was eating buckets of ice cream when she passed. Yes that is bad but, meat isn't necessarily that bad. If his grandfather died because he wasn't eating healthy food, meat is not the sole cause of that. Both of those arguments say nothing about the topic.",0.0,0,False,
30,Aiden Chan,1556728459182,that girl,0.0,0,False,
31,Ryan Wiedenman,1556728459195,"This is why I can’t take veganism seriously. (I know, most vegans aren’t like this but Jesus)",1.0,0,False,
32,Kimi Rhaven Rose,1556728459196,I litrally came onto the comments to see if anyone was as annoyed with this girl as I was.,0.0,2,False,
33,Sam Van Pelt,1556728459198,"i am a vegan and that girl really made me angry. i really could not care less about how other people eat meat and animal products. i’m vegan for myself only, and the difference that i alone can make. telling other people off for their choice of food is so dingy please just mind your business, and this goes both ways.",1.0,0,False,
34,Mihali’s B,1556728459200,"And he said to them, “Then are you also without understanding? Do you not see that whatever goes into a person from outside cannot defile him, since it enters not his heart but his stomach, and is expelled?” (Thus he declared all foods clean.) And he said, “What comes out of a person is what defiles him. For from within, out of the heart of man, come evil thoughts, sexual immorality, theft, murder, adultery, coveting, wickedness, deceit, sensuality, envy, slander, pride, foolishness.",0.0,0,False,
35,Ashish Entertainments (AE),1556728459201,"""What is a food chain..some guy made a diagram and put us humans in the top."" The food chain is not a diagram, it is nature. Some guy explained how nature is in a diagram.",0.0,0,False,
36,Farmer2492,1556728459203,you only have to look at the ugly feral woman she is a vegan but has a bull ring in her nose go figure,0.0,0,False,
37,Marvin Stark,1556728459205,Why they have to dress like that man!,0.0,0,False,
38,Summer Levig,1556728459207,I love that you can tell exactly who is vegan in this video by the way their dressed lmao like ok emo hippie chick,0.0,0,False,
39,ferphoto93,1556728459208,Please put normal vegans... I don't know... Put Leonardo DiCaprio explaining why being vegan helps the environment.,1.0,0,False,
40,mari hernandez,1556728460093,Why did they pick the most vegan looking stereotypes 😂,0.0,0,False,
41,ALISSA Boucher,1556728460095,I just like food....😂😂😂,0.0,0,False,
42,Calypso Artworks,1556728460097,"Why do have most vegan these bangs or a pixy cut ??,",0.0,0,False,
43,Ana Maria Soares,1556728460098,Former vegan is so annoying tho,1.0,0,False,
44,Ana Maria Soares,1556728460100,I'm vegan and the vegan girl just pisses me off,0.0,0,False,
45,Om Um,1556642060102,6:46 lol i think someone farted! xD (use headphones),0.0,0,False,
46,Deepro Banerjee,1556642060104,"1:50 ""I don't even see , like what is a food chain ?"" ..... Yeah that's basic Environmental Science . This guy's grade on that subject in school must've been nuts ! XD",0.0,0,False,
47,Nail Rifqillah,1556642060105,"Plants are also Living beings ,So what's the difference ???",0.0,3,False,
48,Dalia Baby,1556642060107,I'm not even half way through I literally hate that female.. ew!,0.0,0,False,
49,melisa 182,1556642060109,2 seconds in and yall cant deny that you already know who's vegan and whose not,0.0,0,False,
50,Bey Hive,1556642060111,I’m vegan and I can say for sure that I’ve never met a vegan as rude as that woman!,1.0,0,False,
51,Charlie Franzmeier,1556642060112,6:51 OMG WHO IS THIS CHICK,0.0,0,False,
52,Idk :D,1556642060114,"those who think humans and animals (not talking about like long-time pets) are equal,,,, please no",0.0,0,False,
53,The Hunt Rock Band,1556642060116,9:42 well said 👏👏👏,1.0,0,False,
54,Tia Duncan,1556642060117,I already don't want to live so why would I eat vegan to live longer?,0.0,0,False,
55,Leah J.,1556642060119,"I'm Vegan™ and I don't approve this message

Vote Vegan™ 2020",1.0,0,False,
56,Jesse03,1556642060121,"Its not some conspiracy their isn’t healthy food in the hood, companies wont turn down money no matter who it comes from, if there is opportunity companies will set up businesses clearly their isn’t.",0.0,0,False,
57,Kelly Porter,1556642060133,HOW DO YOU LEAVE THE HOUSE LOOKING LIKE THAT OBNOXIOUS GIRL,0.0,0,False,
58,Elise,1556642060135,"a snake tryna attack you
vegans:",0.0,0,False,
59,Mitchell Allen,1556555660136,spot the vegans,0.0,0,False,
60,Eye Wood Like Two Dye,1556555660753,""" There is no food chain its something a guy made up and put in a graph with humans on top."" 

by that statement alone you can probably guess his intelligence.",0.0,10,False,
61,Jessika Bunton,1556555660754,Why’d y’all get the most hippy most stereotypical vegans this is not the representation we need.,1.0,0,False,
62,Rafael Vargas,1556555660756,They should do this again with different people I’d be interested in hearing more from both sides.,0.0,0,False,
63,Liam,1556555660758,Ohmygod that girl thinks being vegan is the same same as being healthy. Ill tell you as a vagitarian i eat as much mcdonalds as anyone else.,0.0,0,False,
64,Rhuth K,1556555660760,"Can you bring more mature and well-behaved vegan to this debate, please?",1.0,0,False,
65,Bread Lover Camp,1556555660761,why they gotta pick the weird ass vegans? where are the people who got a vacation in 3 days and gotta lose 70 lbs?,0.0,1,False,
66,TheArmyofHades,1556555660763,Why you shouldnt become vegan? Imagine starting to look like THAT and talk like the blone girl...i believe there is no further debate,0.0,0,False,
67,PACHONGA9,1556555660765,"Even if homegirl made a 100% perfect infallible argument against eating meat, I would immediately go and buy a bucket of KFC chicken to crunch on, and as the juicy grease ran down my chin, I would spend all of my savings buying stock shares in meat processing companies around the country. Why? Because she is an incredibly annoying person that I would go out of my way to piss off. 

And that is a fact.",0.0,12,False,
68,Papiow,1556555660767,Im a meat eater but love that hipster dude,0.0,0,False,
69,Olivia H Caballero,1556555660769,Being vegan doesnt directly mean you have less environmental impact than a non vegan.,0.0,0,False,
70,HeartFastenedShut,1556555660770,Every normal vegan was like this is why we can't have nice things LMFAO 😂😂😂😂😂😂 this was super entertaining and super irritating at the same time.,1.0,0,False,
72,corn Sauce,1556555660774,I love how if they had the two groups without the labels I’d know exactly which group is vegan,0.0,0,False,
73,FedEx PizzaMan,1556555660776,peta has liked your video,0.0,0,False,
74,Emi Ri,1556555660778,4:41-4:43’s face — Saaaaaame,0.0,0,False,
75,Emi Ri,1556555660779,I don’t support vegans. They’re eating my foods food.,0.0,0,False,
76,CL N,1556555660782,"“I love food”


Ever met someone who doesn’t love food?...",0.0,0,False,
77,oh hai mark,1556555660784,"""it's not in a jungle in africa"" CRINGE",0.0,0,False,
78,Doggo Lover,1556555660786,"I like that it brings people together and beaks stereotypes. Some people in these videos are walking stereotypes, but a lot of them have more to them that just one thing.",1.0,0,False,
79,Mariehzy,1556555660787,"The thing with vegans is a lot of them think you're a demon because of a life choice even if the person is genuinely good. It would be different if we were talking about being transgender, because that too, is a life choice. People shouldn't be forcing their opinions on other people, bad things happen when that's the case.",0.0,2,False,
80,Dorian Preister,1556555661306,This is the type of girl we need thanos to snap away,0.0,0,False,
81,Girl of Many Vloggities,1556555661309,"They’re literally acting like we’re freakin cannibals! Like, it’s not that serious.",0.0,0,False,
82,Girl of Many Vloggities,1556555661310,That girl seems like the pushy type that constantly mentions being vegan when the topic wasn’t even brought up in conversation.,0.0,2,False,
83,T M,1556555661312,What is vegan?,0.0,0,False,
84,Audra Hofacker,1556555661314,"Why they gotta pick the most stereotypical looking vegans... we're not all hippies. And all they really talked about were the animal rights, not the health benefits or the environmentalllllllll reasons ugh",1.0,1,False,
85,Lastlies,1556555661316,"omfg. that one meat eater's passive aggressiveness killed me.
""I think human life is more valuble, but maybe you value fish at the same level as human beings."" like omg, stfu and actually have a conversation. -a meat eater",0.0,0,False,
86,xSaRaHx790,1556555661317,Watching this while eating chicken wings.  LOL    🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,0.0,0,False,
87,Freyja Sarasvati,1556555661319,I want to donate that girl to a starving animal,0.0,0,False,
88,Coyote King,1556555661321,Once again meat eaters win,0.0,0,False,
89,Coyote King,1556555661322,The vegans logic is so bad,0.0,0,False,
90,Amy Smith,1556555661324,Okay but I could feel who the vegans were before they moved. How cliche smh,0.0,0,False,
91,mo nowa,1556555661326,Random thought but that’s why I eat halal meat they butcher meat in the most humane way possible but I see why vegans wouldn’t want to eat meat.,0.0,0,False,
92,Klevis Guri,1556555661328,all the meat eaters looked normal while the vegans have some ridiculous clothes,1.0,0,False,
93,Marissa Agun,1556469261329,Why do we have to put our dogs down when they bite people tho?,0.0,0,False,
94,Adrienne Leslie,1556469261331,The red shirt black dude and the bandana white dude are not being honest sometimes.,0.0,0,False,
95,5567 5555,1556469261333,8:44 The look that guy is giving to the woman is my face everytime I hear her speak.,0.0,0,False,
96,Sehand Alidosti,1556469261334,"me: clicks on video and sees girl
also me: no",0.0,0,False,
97,Sehand Alidosti,1556469261336,that girl says we put fear and death in our bodies but the vegans put stupidity in their heads,0.0,0,False,
98,Amy-Lee Skyy,1556469261338,"Even animals eat meat. I don’t understand vegans, but I don’t judge them🤷🏼‍♀️",0.0,0,False,
99,Shadman Islam,1556469261339,"I can identify vegans just by their choice of fashion, lol 🤣",0.0,0,False,
100,cCcCc CaptainClam,1556469261900,"I'm vegan...
Did I mention I'm vegan?
Well I have cheat year evry year for a year so...
?nagev m'I niotnem I diD",0.0,0,False,
101,Theogrn,1556469261902,Imagine hiking with your best friend and then a mountain lion comes at yall and attacks your friend and you just tell your friend that its that things right to attack,0.0,0,False,
